PlaceDS,ABe,"11709151,11700910,11701416"
SeriousGame,ADa,"11702305,11701272,11700403,11605050,11603714"
3DenRA,APe,"11704450,11706110,11709400"
3DenRA2,APe,"11703623,11708521,11703136,11704531"
Workflow PTUT,APe,"11601402,11700788,11706636"
Competences,APe,"11711701,11702124,11706150,11703425"
Tableau Suivi,BEf,"11703003,11700057,11700813,11709996"
RAMontChatel,BTe,"11702217,11701043,11711681,11701304"
FlipperRA,BTe,"11607863,11702010,11705739"
Jardin,BTe,"11712615,11705480,11706234,11703319"
Association,FVa,"11605589,11701678,11701300,11607054"
Zolertia,HSe,"11702467,11703733,11704010,11700063"
VHaus2,JPFa,"11601734,11602461,11703185,11707865"
Parkodrone,JPFa,"11703235,11701365,11712854"
NeuroVR,JPFa,"11703847,11703953,11703193,11509899"
SimulMedic3D,JPFa,"11707141,11705972,11711500"
Theatre,LBu,"11704020,11702509,11700594,11701939"